id,bouquet,price,date,year,quarter,month,day,week,sender_city,sender_province,delivery_city,delivery_province
1,mix,40.00,2013-01-01,2013,1,1,1,1,Kolno,Podlaskie,Wieliczka,Małopolskie
2,mix,40.00,2013-01-01,2013,1,1,1,1,Kraków,Małopolskie,Łódź,Łódzkie
3,mix,40.00,2013-01-01,2013,1,1,1,1,Kluczbork,Opolskie,Bydgoszcz,Kujawsko-Pomorskie
4,tulips,40.00,2013-01-01,2013,1,1,1,1,Radom,Mazowieckie,Sopot,Pomorskie
5,roses,40.00,2013-01-01,2013,1,1,1,1,Gdańsk,Pomorskie,Warszawa,Mazowieckie
6,tulips,40.00,2013-01-01,2013,1,1,1,1,Częstochowa,Śląskie,Warszawa,Mazowieckie
7,mix,40.00,2013-01-01,2013,1,1,1,1,Kalisz,Wielkopolskie,Elbląg,Warmińsko-Mazurskie
8,mix,40.00,2013-01-01,2013,1,1,1,1,Giżycko,Warmińsko-Mazurskie,Łańcut,Podkarpackie
9,roses,40.00,2013-01-01,2013,1,1,1,1,Lublin,Lubelskie,Warszawa,Mazowieckie
10,tulips,40.00,2013-01-01,2013,1,1,1,1,Gniezno,Wielkopolskie,Koszalin,Zachodniopomorskie
11,tulips,40.00,2013-01-02,2013,1,1,2,1,Kluczbork,Opolskie,Włocławek,Kujawsko-Pomorskie
12,roses,40.00,2013-01-02,2013,1,1,2,1,Elbląg,Warmińsko-Mazurskie,Gorzów Wielkopolski,Lubuskie
13,roses,40.00,2013-01-02,2013,1,1,2,1,Częstochowa,Śląskie,Sopot,Pomorskie
14,roses,40.00,2013-01-02,2013,1,1,2,1,Malbork,Pomorskie,Gniezno,Wielkopolskie
15,tulips,40.00,2013-01-02,2013,1,1,2,1,Włocławek,Kujawsko-Pomorskie,Sandomierz,Świętokrzyskie
16,tulips,40.00,2013-01-02,2013,1,1,2,1,Przemyśl,Podkarpackie,Lublin,Lubelskie
17,roses,40.00,2013-01-02,2013,1,1,2,1,Rzeszów,Podkarpackie,Płock,Mazowieckie
